time_s,modulator_m,alpha,phi_rad,stride_half_m,o1,o2,body_x_m,support_legs,LF_contact,LF_lift_m,RM_contact,RM_lift_m,LH_contact,LH_lift_m,RF_contact,RF_lift_m,LM_contact,LM_lift_m,RH_contact,RH_lift_m
15.200000000000001,1.0,1.1,0.4,0.065,0.45667715485911564,-0.36545632569258557,1.7258446044533542,3,1,0.0,1,0.0,1,0.0,0,0.010963689770777567,0,0.010963689770777567,0,0.010963689770777567
15.25,1.0,1.1,0.4,0.065,0.29692448650090725,-0.5123349489477614,1.7362285278966378,3,1,0.0,1,0.0,1,0.0,0,0.015370048468432842,0,0.015370048468432842,0,0.015370048468432842
15.3,1.0,1.1,0.4,0.065,0.08119111692830128,-0.5691546392601934,1.750251196918857,3,1,0.0,1,0.0,1,0.0,0,0.0170746391778058,0,0.0170746391778058,0,0.0170746391778058
15.350000000000001,1.0,1.1,0.4,0.065,-0.16015231212875863,-0.5451313779482647,1.7659385198075659,3,1,0.0,1,0.0,1,0.0,0,0.01635394133844794,0,0.01635394133844794,0,0.01635394133844794
15.4,1.0,1.1,0.4,0.065,-0.37632691789428974,-0.44920694842351744,1.7799898691823255,3,1,0.0,1,0.0,1,0.0,0,0.013476208452705522,0,0.013476208452705522,0,0.013476208452705522
15.450000000000001,1.0,1.1,0.4,0.065,-0.5180746236063171,-0.28573715366438407,1.7892034700536072,3,1,0.0,1,0.0,1,0.0,0,0.008572114609931522,0,0.008572114609931522,0,0.008572114609931522
15.5,1.0,1.1,0.4,0.065,-0.5698458771173882,-0.06747426518023969,1.792568601531827,3,1,0.0,1,0.0,1,0.0,0,0.002024227955407191,0,0.002024227955407191,0,0.002024227955407191
15.55,1.0,1.1,0.4,0.065,-0.5414836741743454,0.17394953700353327,1.792568601531827,3,0,0.005218486110105998,0,0.005218486110105998,0,0.005218486110105998,1,0.0,1,0.0,1,0.0
15.600000000000001,1.0,1.1,0.4,0.065,-0.44150638957707683,0.3869347401779939,1.7990671250306491,3,0,0.011608042205339817,0,0.011608042205339817,0,0.011608042205339817,1,0.0,1,0.0,1,0.0
15.65,1.0,1.1,0.4,0.065,-0.27435966569236436,0.5235031675638905,1.8099316620831558,3,0,0.015705095026916714,0,0.015705095026916714,0,0.015705095026916714,1,0.0,1,0.0,1,0.0
15.700000000000001,1.0,1.1,0.4,0.065,-0.053672647278768124,0.5702686913791488,1.8242763182800392,3,0,0.017108060741374463,0,0.017108060741374463,0,0.017108060741374463,1,0.0,1,0.0,1,0.0
15.75,1.0,1.1,0.4,0.065,0.18765072967134389,0.5375963289817095,1.8399623377817964,3,0,0.016127889869451285,0,0.016127889869451285,0,0.016127889869451285,1,0.0,1,0.0,1,0.0
15.8,1.0,1.1,0.4,0.065,0.3972727492276523,0.43357650104841555,1.8535877690529567,3,0,0.013007295031452466,0,0.013007295031452466,0,0.013007295031452466,1,0.0,1,0.0,1,0.0
